user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
5250,0,0,4
76767,0,0,3
86540,0,0,20
229911,0,0,8
298950,0,0,53
381543,0,0,4
547685,0,1,5
554278,0,0,8
561758,0,0,25
577614,0,0,1
683019,0,0,3
748719,0,0,6
871990,0,0,1
975449,0,0,78
994489,0,0,5
1024319,0,0,2
1072465,0,0,2
1129452,0,0,4
1612666,0,0,7
1834453,0,1,2
1936551,0,0,26
1950243,0,0,19
2039434,0,0,5
2083767,0,0,15
2110581,0,0,6
2259650,0,0,47
2643609,0,0,12
2753525,0,0,23
3238976,0,0,2
3244702,0,0,1
3249166,0,0,2
3449240,0,0,21
3527485,0,0,6
3674653,0,0,1
3747293,0,0,4
3783783,0,0,4
3979930,0,1,6
4156158,0,0,1
4595423,0,0,7
4677023,0,0,4
4824107,0,0,6
4834220,0,0,7
4877411,0,0,2
5217749,0,0,4
5220782,0,0,2
5232588,0,0,1
5270060,0,0,5
5307960,0,0,1
5387470,0,0,21
5600822,0,0,2
5759284,0,0,1
5860071,0,0,6
5949488,0,0,3
5976642,0,0,5
5990132,0,0,13
6144819,0,0,5
6252885,0,0,3
6439568,0,0,1
6717871,0,0,26
6928806,0,0,7
7015471,0,0,5
7020135,0,0,1
7163917,0,0,8
7203603,0,0,7
7249363,0,0,2
7273540,0,0,2
7418489,0,0,2
7431946,0,0,9
7440594,0,0,19
7736384,0,0,2
7757631,0,0,1
7907686,0,0,28
7955670,0,0,9
8013465,0,0,2
8100868,0,0,2
8259307,0,1,19
8311704,0,0,2
8542204,0,0,10
8585433,0,0,65
8763960,0,0,1
8776918,0,0,8
8784496,0,0,4
8795607,0,0,6
9128105,0,0,52
9134079,0,0,1
9180659,0,0,11
9209946,0,1,4
9245216,0,0,5
9544834,0,1,4
9563573,0,0,3
9740704,0,0,1
9823354,0,0,37
9845449,0,0,4
9946133,0,0,4
10095386,0,0,1
10162301,0,0,7
10181060,0,0,1
10216256,0,0,1
10218563,0,0,14
10253354,0,0,38
10302000,0,0,4
10385370,0,0,4
10450544,0,0,22
10478285,0,0,1
10599862,0,0,53
10856494,0,0,3
10869571,0,0,3
11024186,0,0,3
11149819,0,0,65
11161178,0,1,36
11207650,0,0,9
11300897,0,0,3
11373749,0,1,83
11403772,0,0,127
11718802,0,0,1
11731710,0,1,24
11794760,0,0,51
11807754,0,0,2
11813637,0,0,9
11940338,0,0,18
11952990,0,0,16
11970504,0,0,23
11978743,0,0,37
12130111,0,0,8
12144171,0,0,18
12169570,0,0,2
12195913,0,0,3
12259303,0,0,6
12423315,0,0,2
12529679,0,0,1
12610800,0,0,48
12660489,0,1,3
12760368,0,0,10
12774878,0,0,4
12860805,0,0,4
12985315,0,0,3
13190476,0,0,26
13227113,0,0,1
13336286,0,0,1
13556140,0,0,6
13565651,0,0,36
13646256,0,0,6
13802025,0,0,1
13863290,0,0,1
13873032,0,0,1
14098833,0,0,2
14126086,0,0,29
14153959,0,0,1
14165501,0,0,2
14216099,0,0,4
14417857,0,0,9
14465359,0,0,63
14507290,0,0,3
14544587,0,0,19
