name,ID
DOOM,doom
PLAYERUNKNOWN'S BATTLEGROUNDS,playerunknownsbattlegrounds
BATTLETECH,battletech
DayZ,dayz
EVE Online,eveonline
Grand Theft Auto V: Premium Online Edition,grandtheftautovpremiumonlineedition
Devil May Cry 5,devilmaycry5
Human: Fall Flat,humanfallflat
They Are Billions,theyarebillions
Warhammer: Chaosbane,warhammerchaosbane
For The King,fortheking
Danganronpa V3: Killing Harmony,danganronpav3killingharmony
TERA,tera
Call of Duty®: Modern Warfare® Remastered,callofdutymodernwarfareremastered
Stonehearth,stonehearth
Hearts of Iron IV: Mobilization Pack,heartsofironivmobilizationpack
Clone Drone in the Danger Zone,clonedroneinthedangerzone
GOD EATER 3,godeater3
War Robots,warrobots
Halo Wars: Definitive Edition,halowarsdefinitiveedition
Call of Duty®: Black Ops,callofdutyblackops
Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,phoenixwrightaceattorneytrilogy123
Team Sonic Racing™,teamsonicracing
Titan Quest Anniversary Edition,titanquestanniversaryedition
Grand Theft Auto IV,grandtheftautoiv
Portal Bundle,portalbundle
Portal,portal
Viscera Cleanup Detail,visceracleanupdetail
Neverwinter Nights: Enhanced Edition,neverwinternightsenhancededition
Ni no Kuni™ II: Revenant Kingdom,ninokuniiirevenantkingdom
Tree of Savior (English Ver.),treeofsaviorenglishver
Hellblade: Senua's Sacrifice,hellbladesenuassacrifice
Danganronpa 2: Goodbye Despair,danganronpa2goodbyedespair
Yakuza 0,yakuza0
The Escapists 2,theescapists2
"Star Wars: Battlefront 2 (Classic, 2005)",starwarsbattlefront2classic2005
Wizard101,wizard101
Life is Strange 2,lifeisstrange2
Kingdoms of Amalur: Reckoning™,kingdomsofamalurreckoning
Doom Classic Complete,doomclassiccomplete
"Warhammer 40,000: Dawn of War II: Retribution",warhammer40000dawnofwariiretribution
GOD WARS The Complete Legend,godwarsthecompletelegend
Counter-Strike: Source,counterstrikesource
The Evil Within,theevilwithin
The Binding of Isaac: Rebirth Complete Bundle,thebindingofisaacrebirthcompletebundle
Bright Memory(Early Access) / 光明记忆,brightmemoryearlyaccess
STAR WARS™ Empire at War - Gold Pack,starwarsempireatwargoldpack
Dishonored®: Death of the Outsider™,dishonoreddeathoftheoutsider
Street Fighter V,streetfighterv
The Jackbox Party Pack 2,thejackboxpartypack2
Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,armoredbattlecrewworldwar1tankwarfareandcrewmanagementsimulator
Battlefleet Gothic: Armada 2,battlefleetgothicarmada2
RUNNING WITH RIFLES,runningwithrifles
The Witcher: Enhanced Edition Director's Cut,thewitcherenhancededitiondirectorscut
Middle-earth™: Shadow of War™,middleearthshadowofwar
Forts,forts
The Lord of the Rings Online™,thelordoftheringsonline
Stellaris: Ascension Pack,stellarisascensionpack
Dungeon Munchies,dungeonmunchies
Grand Theft Auto IV: Complete Edition,grandtheftautoivcompleteedition
Pillars of Eternity,pillarsofeternity
Graveyard Keeper,graveyardkeeper
The Elder Scrolls®: Legends™,theelderscrollslegends
RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,residentevil2biohazardre2deluxeedition
Northgard,northgard
Realm Royale,realmroyale
Sid Meier’s Civilization VI Gold Edition,sidmeierscivilizationvigoldedition
Gang Beasts,gangbeasts
Age of Empires Legacy Bundle,ageofempireslegacybundle
Total War: MEDIEVAL II – Definitive Edition,totalwarmedievaliidefinitiveedition
Tales of Vesperia: Definitive Edition,talesofvesperiadefinitiveedition
FINAL FANTASY X/X-2 HD Remaster,finalfantasyxx2hdremaster
Return of the Obra Dinn,returnoftheobradinn
Castle Crashers®,castlecrashers
FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION,finalfantasyxvepisodeardyncompleteedition
Call of Duty®: WWII,callofdutywwii
MudRunner,mudrunner
Keep Talking and Nobody Explodes,keeptalkingandnobodyexplodes
SPORE™,spore
Contra Anniversary Collection,contraanniversarycollection
Fishing Planet,fishingplanet
Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle,grandtheftautovpremiumonlineeditiongreatwhitesharkcardbundle
Just Cause™ 3,justcause3
BioShock Infinite,bioshockinfinite
Men of War: Assault Squad 2,menofwarassaultsquad2
Dungeons & Dragons Online®,dungeonsdragonsonline
NecroDancer ULTIMATE PACK,necrodancerultimatepack
JUMP FORCE,jumpforce
Desert Skies,desertskies
Ring of Elysium,ringofelysium
Super Neptunia RPG / 勇者ネプテューヌ /勇者戰幾少女,superneptuniarpg
METAL GEAR SOLID V: THE PHANTOM PAIN,metalgearsolidvthephantompain
TEKKEN 7,tekken7
Golf It!,golfit
Shadow Tactics: Blades of the Shogun,shadowtacticsbladesoftheshogun
Heroes & Generals,heroesgenerals
Ultimate Doom,ultimatedoom
GORN,gorn
DRAGON BALL FighterZ,dragonballfighterz
Fantasy Grounds,fantasygrounds
DRAGON BALL XENOVERSE 2,dragonballxenoverse2
Frostpunk,frostpunk
Stellaris: Starter Pack,stellarisstarterpack
Universe Sandbox ²,universesandbox
Shadowverse CCG,shadowverseccg
Tyranny -  Gold Edition,tyrannygoldedition
Cities: Skylines - New Player Bundle,citiesskylinesnewplayerbundle
Fable Anniversary,fableanniversary
Baldur's Gate II: Enhanced Edition,baldursgateiienhancededition
Freestyle 2: Street Basketball,freestyle2streetbasketball
PC Building Simulator,pcbuildingsimulator
Battle Brothers,battlebrothers
The Surge,thesurge
Total War Saga: THRONES OF BRITANNIA,totalwarsagathronesofbritannia
Assetto Corsa Ultimate Edition,assettocorsaultimateedition
Parkitect,parkitect
Between the Stars,betweenthestars
ShellShock Live,shellshocklive
Endless Legend™,endlesslegend
Cities: Skylines - Campus Plus Edition,citiesskylinescampusplusedition
Devolver Bootleg,devolverbootleg
DiRT Rally 2.0,dirtrally20
Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,attackontitan2aot2
Warface,warface
Assassin's Creed® Origins,assassinscreedorigins
House Party,houseparty
Empyrion - Galactic Survival,empyriongalacticsurvival
WWE 2K19,wwe2k19
Dragon's Dogma: Dark Arisen,dragonsdogmadarkarisen
"Warhammer 40,000: Gladius - Relics of War",warhammer40000gladiusrelicsofwar
Scrap Mechanic,scrapmechanic
Generation Zero,generationzero
Total War: ATTILA,totalwarattila
Dead by Daylight + Deathgarden,deadbydaylightdeathgarden
Prison Architect,prisonarchitect
Dying Light Ultimate Collection,dyinglightultimatecollection
Eco,eco
Thief Simulator,thiefsimulator
Bloons TD 6,bloonstd6
DUSK,dusk
Ori and the Blind Forest,oriandtheblindforest
Wizard of Legend,wizardoflegend
MapleStory 2,maplestory2
The Jackbox Party Pack 4,thejackboxpartypack4
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,earthdefenseforce41theshadowofnewdespair
Cities: Skylines Collection,citiesskylinescollection
Steam Controller,steamcontroller
Two Point Hospital,twopointhospital
The Universim,theuniversim
Sniper Elite 4,sniperelite4
Divinity: Original Sin - Enhanced Edition,divinityoriginalsinenhancededition
Automation - The Car Company Tycoon Game,automationthecarcompanytycoongame
Call of Duty®: Modern Warfare® 3,callofdutymodernwarfare3
SCUM,scum
Reventure,reventure
Job Simulator,jobsimulator
Watch_Dogs® 2,watchdogs2
Town of Salem,townofsalem
VEGA Conflict,vegaconflict
Foundation,foundation
Shadow of the Tomb Raider,shadowofthetombraider
Golf With Your Friends,golfwithyourfriends
The Witcher 2: Assassins of Kings Enhanced Edition,thewitcher2assassinsofkingsenhancededition
ARK: Survival Evolved Explorer's Edition,arksurvivalevolvedexplorersedition
The Elder Scrolls IV: Oblivion® Game of the Year Edition,theelderscrollsivobliviongameoftheyearedition
Company of Heroes 2,companyofheroes2
PlanetSide 2,planetside2
Rocksmith® 2014 Edition - Remastered,rocksmith2014editionremastered
Naval Action,navalaction
theHunter: Call of the Wild™ - 2019 Edition,thehuntercallofthewild2019edition
ACE COMBAT™ 7: SKIES UNKNOWN,acecombat7skiesunknown
Vacation Simulator,vacationsimulator
PAYDAY 2: Ultimate Edition,payday2ultimateedition
Baldur's Gate: Enhanced Edition,baldursgateenhancededition
The Golf Club™ 2019 featuring PGA TOUR,thegolfclub2019featuringpgatour
Far Cry® 5,farcry5
Pummel Party,pummelparty
Idle Champions of the Forgotten Realms,idlechampionsoftheforgottenrealms
The Isle,theisle
iRacing,iracing
Steel Division 2,steeldivision2
"Hot Dogs, Horseshoes & Hand Grenades",hotdogshorseshoeshandgrenades
Crush Crush,crushcrush
Call of Duty®: Black Ops II,callofdutyblackopsii
Undertale,undertale
The Evil Within 2,theevilwithin2
Project CARS 2,projectcars2
Total War: SHOGUN 2,totalwarshogun2
FINAL FANTASY VII,finalfantasyvii
Euro Truck Simulator 2,eurotrucksimulator2
Endless Space® 2,endlessspace2
BATTALION 1944: First To Fight Edition,battalion1944firsttofightedition
Beat Saber - Game + Imagine Dragons Music Pack,beatsabergameimaginedragonsmusicpack
Stick Fight: The Game,stickfightthegame
Fell Seal: Arbiter's Mark,fellsealarbitersmark
Out of the Park Baseball 20,outoftheparkbaseball20
Project Winter,projectwinter
Dishonored,dishonored
Assetto Corsa,assettocorsa
My Friend Pedro,myfriendpedro
Trove,trove
My Time At Portia,mytimeatportia
Fallout 4 VR,fallout4vr
Enter the Gungeon,enterthegungeon
NecroDancer AMPLIFIED PACK,necrodanceramplifiedpack
Arizona Sunshine,arizonasunshine
Age of Mythology: Extended Edition,ageofmythologyextendededition
