name,ID
DayZ,dayz
EVE Online,eveonline
TERA,tera
Stonehearth,stonehearth
Call of Duty®: Black Ops,callofdutyblackops
Grand Theft Auto IV,grandtheftautoiv
Portal,portal
Viscera Cleanup Detail,visceracleanupdetail
Kingdoms of Amalur: Reckoning™,kingdomsofamalurreckoning
"Warhammer 40,000: Dawn of War II: Retribution",warhammer40000dawnofwariiretribution
Counter-Strike: Source,counterstrikesource
The Evil Within,theevilwithin
The Jackbox Party Pack 2,thejackboxpartypack2
RUNNING WITH RIFLES,runningwithrifles
The Lord of the Rings Online™,thelordoftheringsonline
Pillars of Eternity,pillarsofeternity
Gang Beasts,gangbeasts
Castle Crashers®,castlecrashers
Keep Talking and Nobody Explodes,keeptalkingandnobodyexplodes
SPORE™,spore
Fishing Planet,fishingplanet
Just Cause™ 3,justcause3
BioShock Infinite,bioshockinfinite
Men of War: Assault Squad 2,menofwarassaultsquad2
Dungeons & Dragons Online®,dungeonsdragonsonline
METAL GEAR SOLID V: THE PHANTOM PAIN,metalgearsolidvthephantompain
Heroes & Generals,heroesgenerals
Universe Sandbox ²,universesandbox
Fable Anniversary,fableanniversary
Baldur's Gate II: Enhanced Edition,baldursgateiienhancededition
Freestyle 2: Street Basketball,freestyle2streetbasketball
Battle Brothers,battlebrothers
Endless Legend™,endlesslegend
Warface,warface
Empyrion - Galactic Survival,empyriongalacticsurvival
Total War: ATTILA,totalwarattila
Prison Architect,prisonarchitect
Ori and the Blind Forest,oriandtheblindforest
The Universim,theuniversim
Divinity: Original Sin - Enhanced Edition,divinityoriginalsinenhancededition
Automation - The Car Company Tycoon Game,automationthecarcompanytycoongame
Call of Duty®: Modern Warfare® 3,callofdutymodernwarfare3
Town of Salem,townofsalem
The Witcher 2: Assassins of Kings Enhanced Edition,thewitcher2assassinsofkingsenhancededition
Company of Heroes 2,companyofheroes2
PlanetSide 2,planetside2
Baldur's Gate: Enhanced Edition,baldursgateenhancededition
iRacing,iracing
Call of Duty®: Black Ops II,callofdutyblackopsii
Undertale,undertale
Total War: SHOGUN 2,totalwarshogun2
FINAL FANTASY VII,finalfantasyvii
Euro Truck Simulator 2,eurotrucksimulator2
Dishonored,dishonored
Assetto Corsa,assettocorsa
Trove,trove
Age of Mythology: Extended Edition,ageofmythologyextendededition
Call of Duty: World at War,callofdutyworldatwar
Killing Floor 2,killingfloor2
MapleStory,maplestory
Mount & Blade: Warband,mountbladewarband
Don't Starve,dontstarve
Call of Duty®: Modern Warfare® 2,callofdutymodernwarfare2
Neverwinter,neverwinter
The Binding of Isaac: Rebirth,thebindingofisaacrebirth
Age of Empires® III: Complete Collection,ageofempiresiiicompletecollection
Knights of Pen and Paper 2,knightsofpenandpaper2
Microsoft Flight Simulator X: Steam Edition,microsoftflightsimulatorxsteamedition
Elite Dangerous,elitedangerous
Realm of the Mad God,realmofthemadgod
Portal 2,portal2
BeamNG.drive,beamngdrive
DARK SOULS™ II,darksoulsii
Total War™: ROME II - Emperor Edition,totalwarromeiiemperoredition
Left 4 Dead 2,left4dead2
Darkest Dungeon®,darkestdungeon
Vampire: The Masquerade - Bloodlines,vampirethemasqueradebloodlines
Kenshi,kenshi
Subnautica,subnautica
Grim Dawn,grimdawn
7 Days to Die,7daystodie
Fallout: New Vegas,falloutnewvegas
Wolfenstein: The New Order,wolfensteintheneworder
Europa Universalis IV,europauniversalisiv
Starbound,starbound
PAYDAY 2,payday2
"Papers, Please",papersplease
Prey,prey
Tabletop Simulator,tabletopsimulator
Screencheat,screencheat
Space Engineers,spaceengineers
Sid Meier's Civilization® V,sidmeierscivilizationv
Crypt of the NecroDancer,cryptofthenecrodancer
Garry's Mod,garrysmod
Brawlhalla,brawlhalla
Crusader Kings II,crusaderkingsii
Call of Duty®: Black Ops III,callofdutyblackopsiii
Star Trek Online,startrekonline
The Forest,theforest
Squad,squad
Terraria,terraria
Kerbal Space Program,kerbalspaceprogram
SMITE®,smite
ARK: Survival Evolved,arksurvivalevolved
DARK SOULS™ II: Scholar of the First Sin,darksoulsiischolarofthefirstsin
Arma 3,arma3
Team Fortress 2,teamfortress2
War Thunder,warthunder
Dying Light,dyinglight
Borderlands: The Pre-Sequel,borderlandsthepresequel
Cities: Skylines,citiesskylines
Fallout 4,fallout4
Rust,rust
Grand Theft Auto V,grandtheftautov
Warframe,warframe
The Witcher® 3: Wild Hunt,thewitcher3wildhunt
Rocket League®,rocketleague
Borderlands 2,borderlands2
Tom Clancy's Rainbow Six® Siege,tomclancysrainbowsixsiege
Path of Exile,pathofexile
Dota 2,dota2
Counter-Strike: Global Offensive,counterstrikeglobaloffensive
S.T.A.L.K.E.R.: Shadow of Chernobyl,stalkershadowofchernobyl
Chivalry: Medieval Warfare,chivalrymedievalwarfare
Five Nights at Freddy's 3,fivenightsatfreddys3
Miscreated,miscreated
Crawl,crawl
The Wolf Among Us,thewolfamongus
Puzzle Pirates,puzzlepirates
Watch_Dogs™,watchdogs
Distance,distance
L.A. Noire,lanoire
Metro 2033 Redux,metro2033redux
Far Cry 3,farcry3
Insurgency,insurgency
rFactor 2,rfactor2
Rocksmith™,rocksmith
LISA,lisa
Assassin's Creed® Syndicate,assassinscreedsyndicate
Nancy Drew®: Danger by Design,nancydrewdangerbydesign
APB Reloaded,apbreloaded
Supreme Commander: Forged Alliance,supremecommanderforgedalliance
Victoria II,victoriaii
Psychonauts,psychonauts
Call of Duty® 4: Modern Warfare®,callofduty4modernwarfare
Sid Meier's Civilization®: Beyond Earth™,sidmeierscivilizationbeyondearth
Homeworld Remastered Collection,homeworldremasteredcollection
Magicka,magicka
Outlast,outlast
Mafia II,mafiaii
Middle-earth™: Shadow of Mordor™,middleearthshadowofmordor
Depth,depth
100% Orange Juice,100orangejuice
Metro: Last Light Redux,metrolastlightredux
Spiral Knights,spiralknights
Quiplash,quiplash
South Park™: The Stick of Truth™,southparkthestickoftruth
Goat Simulator,goatsimulator
FINAL FANTASY® XIII,finalfantasyxiii
Quake III Arena,quakeiiiarena
SOMA,soma
Armello,armello
CrossCode,crosscode
DOOM 3,doom3
FaceRig,facerig
Hotline Miami 2: Wrong Number,hotlinemiami2wrongnumber
Hotline Miami,hotlinemiami
Wargame: Red Dragon,wargamereddragon
QUAKE II,quakeii
This War of Mine,thiswarofmine
Half-Life 2,halflife2
Half-Life,halflife
IL-2 Sturmovik: Battle of Stalingrad,il2sturmovikbattleofstalingrad
FINAL FANTASY VIII,finalfantasyviii
Batman™: Arkham Origins,batmanarkhamorigins
RUSH,rush
War for the Overworld,warfortheoverworld
Sid Meier's Civilization IV: Colonization,sidmeierscivilizationivcolonization
Dungeon Defenders,dungeondefenders
RIFT,rift
NEKOPARA Vol. 1,nekoparavol1
Saints Row IV,saintsrowiv
Elsword,elsword
Geometry Dash,geometrydash
Game Dev Tycoon,gamedevtycoon
RollerCoaster Tycoon® 2: Triple Thrill Pack,rollercoastertycoon2triplethrillpack
RollerCoaster Tycoon®: Deluxe,rollercoastertycoondeluxe
Black Mesa,blackmesa
Unturned,unturned
"Warhammer 40,000: Space Marine",warhammer40000spacemarine
Talisman: Digital Edition,talismandigitaledition
Mass Effect 2,masseffect2
Mortal Kombat X,mortalkombatx
Age of Wonders III,ageofwondersiii
Five Nights at Freddy's 4,fivenightsatfreddys4
BioShock™,bioshock
Torchlight II,torchlightii
AdVenture Capitalist,adventurecapitalist
STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,starwarsknightsoftheoldrepubliciithesithlords
Stranded Deep,strandeddeep
DC Universe™ Online,dcuniverseonline
Dragon Age: Origins - Ultimate Edition,dragonageoriginsultimateedition
Saints Row: The Third,saintsrowthethird
XCOM: Enemy Unknown,xcomenemyunknown
Five Nights at Freddy's 2,fivenightsatfreddys2
Wolfenstein: The Old Blood,wolfensteintheoldblood
STAR WARS™ - Knights of the Old Republic™,starwarsknightsoftheoldrepublic
Far Cry® 4,farcry4
Rise of Nations: Extended Edition,riseofnationsextendededition
Alien: Isolation,alienisolation
FTL: Faster Than Light,ftlfasterthanlight
BattleBlock Theater®,battleblocktheater
Banished,banished
GRID 2,grid2
MARVEL Puzzle Quest,marvelpuzzlequest
Project Zomboid,projectzomboid
RPG Maker MV,rpgmakermv
Vindictus,vindictus
Galactic Civilizations III,galacticcivilizationsiii
Assassin’s Creed® IV Black Flag™,assassinscreedivblackflag
TerraTech,terratech
Company of Heroes,companyofheroes
The Stanley Parable,thestanleyparable
X3: Terran Conflict,x3terranconflict
Five Nights at Freddy's,fivenightsatfreddys
Wasteland 2: Director's Cut,wasteland2directorscut
Sins of a Solar Empire: Rebellion®,sinsofasolarempirerebellion
HuniePop,huniepop
The Jackbox Party Pack,thejackboxpartypack
Dungeon Fighter Online,dungeonfighteronline
The Long Dark,thelongdark
Left 4 Dead,left4dead
Stronghold Kingdoms,strongholdkingdoms
Plague Inc: Evolved,plagueincevolved
Batman™: Arkham Knight,batmanarkhamknight
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",warhammer40000dawnofwargameoftheyearedition
Grand Theft Auto: San Andreas,grandtheftautosanandreas
Fallout 3: Game of the Year Edition,fallout3gameoftheyearedition
Doom 3: BFG Edition,doom3bfgedition
Vagante,vagante
Dungeon Defenders II,dungeondefendersii
3DMark,3dmark
"Warhammer® 40,000: Dawn of War® - Soulstorm",warhammer40000dawnofwarsoulstorm
Verdun,verdun
Panzer Corps,panzercorps
Blood Bowl 2,bloodbowl2
Rogue Legacy,roguelegacy
Software Inc.,softwareinc
DiRT Rally,dirtrally
SUNLESS SEA,sunlesssea
Crusaders of the Lost Idols,crusadersofthelostidols
Sid Meier's Pirates!,sidmeierspirates
RWBY: Grimm Eclipse,rwbygrimmeclipse
Icewind Dale: Enhanced Edition,icewinddaleenhancededition
Tales of Zestiria,talesofzestiria
Democracy 3,democracy3
FINAL FANTASY III,finalfantasyiii
Killing Floor,killingfloor
Tales of Maj'Eyal,talesofmajeyal
Need For Speed: Hot Pursuit,needforspeedhotpursuit
Hacknet,hacknet
Might & Magic® Heroes® VII,mightmagicheroesvii
The Beginner's Guide,thebeginnersguide
RaceRoom Racing Experience,raceroomracingexperience
Nuclear Throne,nuclearthrone
Planetary Annihilation: TITANS,planetaryannihilationtitans
Sid Meier's Civilization® IV,sidmeierscivilizationiv
Supreme Commander,supremecommander
The Binding of Isaac,thebindingofisaac
Stronghold Crusader 2,strongholdcrusader2
Supreme Commander 2,supremecommander2
Creeper World 3: Arc Eternal,creeperworld3arceternal
Mad Max,madmax
Mirror's Edge™,mirrorsedge
BioShock® 2,bioshock2
Tom Clancy's Rainbow Six® Vegas 2,tomclancysrainbowsixvegas2
Battlefield: Bad Company™ 2,battlefieldbadcompany2
From the Depths,fromthedepths
Heroes of Might & Magic V,heroesofmightmagicv
Heroes® of Might & Magic® III - HD Edition,heroesofmightmagiciiihdedition
Bloons TD 5,bloonstd5
SpeedRunners,speedrunners
DYNASTY WARRIORS® 8 Empires,dynastywarriors8empires
Besiege,besiege
Scribblenauts Unlimited,scribblenautsunlimited
FINAL FANTASY IV,finalfantasyiv
Mortal Kombat Komplete Edition,mortalkombatkompleteedition
Tropico 5,tropico5
Planetbase,planetbase
STAR WARS™ Republic Commando™,starwarsrepubliccommando
Cat Goes Fishing,catgoesfishing
Overgrowth,overgrowth
Resident Evil 6 / Biohazard 6,residentevil6biohazard6
Sleeping Dogs: Definitive Edition,sleepingdogsdefinitiveedition
Sanctum 2,sanctum2
Amnesia: The Dark Descent,amnesiathedarkdescent
Counter-Strike Nexon: Zombies,counterstrikenexonzombies
Hero Siege,herosiege
EverQuest II,everquestii
Spelunky,spelunky
60 Seconds!,60seconds
Creativerse,creativerse
Freddi Fish and the Case of the Missing Kelp Seeds,freddifishandthecaseofthemissingkelpseeds
METAL GEAR RISING: REVENGEANCE,metalgearrisingrevengeance
Resident Evil™ 5/ Biohazard 5®,residentevil5biohazard5
Poly Bridge,polybridge
Call of Duty: United Offensive,callofdutyunitedoffensive
Sonic Adventure 2,sonicadventure2
"Warhammer 40,000: Dawn of War II",warhammer40000dawnofwarii
Duck Game,duckgame
Aliens vs. Predator™,aliensvspredator
POSTAL 2,postal2
Shadowrun: Dragonfall - Director's Cut,shadowrundragonfalldirectorscut
Counter-Strike,counterstrike
The Talos Principle,thetalosprinciple
Fable - The Lost Chapters,fablethelostchapters
Stronghold Crusader HD,strongholdcrusaderhd
Assassin’s Creed® Brotherhood,assassinscreedbrotherhood
F.E.A.R. 2: Project Origin,fear2projectorigin
Fallout 3,fallout3
Max Payne 3,maxpayne3
Deus Ex: Human Revolution - Director's Cut,deusexhumanrevolutiondirectorscut
Rivals of Aether,rivalsofaether
resident evil 4 / biohazard 4,residentevil4biohazard4
Star Conflict,starconflict
Dead Space™ 2,deadspace2
Tomb Raider,tombraider
Natural Selection 2,naturalselection2
Broforce,broforce
Paint the Town Red,paintthetownred
realMyst: Masterpiece Edition,realmystmasterpieceedition
Orcs Must Die! 2,orcsmustdie2
Dead Space,deadspace
STAR WARS™ Jedi Knight - Jedi Academy™,starwarsjediknightjediacademy
Skullgirls,skullgirls
Call to Arms,calltoarms
Champions Online,championsonline
The Legend of Heroes: Trails in the Sky,thelegendofheroestrailsinthesky
Magicka 2,magicka2
FATE,fate
Risk of Rain,riskofrain
Clicker Heroes,clickerheroes
Insaniquarium Deluxe,insaniquariumdeluxe
Xenonauts,xenonauts
Craft The World,crafttheworld
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,starwarstheforceunleashedultimatesithedition
The Secret of Monkey Island: Special Edition,thesecretofmonkeyislandspecialedition
TowerFall Ascension,towerfallascension
Sniper: Ghost Warrior 2,sniperghostwarrior2
Spec Ops: The Line,specopstheline
"Please, Don’t Touch Anything",pleasedonttouchanything
Defense Grid: The Awakening,defensegridtheawakening
Grandia® II Anniversary Edition,grandiaiianniversaryedition
Half-Life: Source,halflifesource
Assassin’s Creed® Rogue,assassinscreedrogue
Worms Ultimate Mayhem,wormsultimatemayhem
Mass Effect,masseffect
Painkiller Hell & Damnation,painkillerhelldamnation
Secrets of Grindea,secretsofgrindea
Fallen Enchantress: Legendary Heroes,fallenenchantresslegendaryheroes
Quake Live™,quakelive
Assassin's Creed® Revelations,assassinscreedrevelations
World of Guns: Gun Disassembly,worldofgunsgundisassembly
Nidhogg,nidhogg
"Warhammer® 40,000: Dawn of War® - Dark Crusade",warhammer40000dawnofwardarkcrusade
Dawn of Discovery™,dawnofdiscovery
STAR WARS™ Jedi Knight II - Jedi Outcast™,starwarsjediknightiijedioutcast
E.Y.E: Divine Cybermancy,eyedivinecybermancy
Zombie Army Trilogy,zombiearmytrilogy
Sherlock Holmes: Crimes and Punishments,sherlockholmescrimesandpunishments
Lucius,lucius
Infested Planet,infestedplanet
Mad Games Tycoon,madgamestycoon
Cave Story+,cavestory
Dino D-Day,dinodday
Half-Life: Blue Shift,halflifeblueshift
CastleMiner Z,castleminerz
Amnesia™: Memories,amnesiamemories
Dig or Die,digordie
To the Moon,tothemoon
Surgeon Simulator,surgeonsimulator
TrackMania² Stadium,trackmaniastadium
Bastion,bastion
Deus Ex: Game of the Year Edition,deusexgameoftheyearedition
LEGO® Worlds,legoworlds
Her Story,herstory
THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,thekingoffighters98ultimatematchfinaledition
Zoombinis,zoombinis
Long Live The Queen,longlivethequeen
Overlord™,overlord
System Shock 2,systemshock2
STAR WARS™: The Force Unleashed™ II,starwarstheforceunleashedii
Game of Thrones,gameofthrones
Recettear: An Item Shop's Tale,recettearanitemshopstale
LEGO® Marvel™ Super Heroes,legomarvelsuperheroes
Ultra Street Fighter® IV,ultrastreetfighteriv
Tom Clancy's Splinter Cell Chaos Theory®,tomclancyssplintercellchaostheory
The Legend of Heroes: Trails in the Sky SC,thelegendofheroestrailsintheskysc
Burnout Paradise: The Ultimate Box,burnoutparadisetheultimatebox
DEFCON,defcon
S.T.A.L.K.E.R.: Call of Pripyat,stalkercallofpripyat
Crysis 2 - Maximum Edition,crysis2maximumedition
The Typing of The Dead: Overkill,thetypingofthedeadoverkill
Half-Life: Opposing Force,halflifeopposingforce
Men of War: Assault Squad,menofwarassaultsquad
Reassembly,reassembly
Peggle Deluxe,peggledeluxe
Grim Fandango Remastered,grimfandangoremastered
Overlord II,overlordii
Thief,thief
Bully: Scholarship Edition,bullyscholarshipedition
Sid Meier's Civilization® III Complete,sidmeierscivilizationiiicomplete
Evil Genius,evilgenius
Medieval Engineers,medievalengineers
Half-Life 2: Episode Two,halflife2episodetwo
Brothers in Arms: Earned in Blood™,brothersinarmsearnedinblood
Magic: The Gathering - Duels of the Planeswalkers 2013,magicthegatheringduelsoftheplaneswalkers2013
Shadowrun Returns,shadowrunreturns
FortressCraft Evolved!,fortresscraftevolved
Call of Duty® 2,callofduty2
The Room,theroom
Tom Clancy’s Splinter Cell Blacklist,tomclancyssplintercellblacklist
Mount Your Friends,mountyourfriends
ibb & obb,ibbobb
Divinity II: Developer's Cut,divinityiideveloperscut
Layers of Fear,layersoffear
Infinifactory,infinifactory
Supreme Ruler Ultimate,supremerulerultimate
Nancy Drew®: Ghost of Thornton Hall,nancydrewghostofthorntonhall
Worms Revolution,wormsrevolution
King's Quest™ Collection,kingsquestcollection
