name,percentage_positive_review,review_qualification,all_reviews
DOOM,92,Very Positive,"Very Positive,(42,550),- 92% of the 42,550 user reviews for this game are positive."
PLAYERUNKNOWN'S BATTLEGROUNDS,49,Mixed,"Mixed,(836,608),- 49% of the 836,608 user reviews for this game are positive."
BATTLETECH,71,Mostly Positive,"Mostly Positive,(7,030),- 71% of the 7,030 user reviews for this game are positive."
DayZ,61,Mixed,"Mixed,(167,115),- 61% of the 167,115 user reviews for this game are positive."
EVE Online,74,Mostly Positive,"Mostly Positive,(11,481),- 74% of the 11,481 user reviews for this game are positive."
Grand Theft Auto V: Premium Online Edition,-1,,
Devil May Cry 5,92,Very Positive,"Very Positive,(9,645),- 92% of the 9,645 user reviews for this game are positive."
Human: Fall Flat,91,Very Positive,"Very Positive,(23,763),- 91% of the 23,763 user reviews for this game are positive."
They Are Billions,85,Very Positive,"Very Positive,(12,127),- 85% of the 12,127 user reviews for this game are positive."
Warhammer: Chaosbane,44,Mixed,"Mixed,(904),- 44% of the 904 user reviews for this game are positive."
For The King,83,Very Positive,"Very Positive,(4,600),- 83% of the 4,600 user reviews for this game are positive."
Danganronpa V3: Killing Harmony,84,Very Positive,"Very Positive,(3,547),- 84% of the 3,547 user reviews for this game are positive."
TERA,78,Mostly Positive,"Mostly Positive,(14,184),- 78% of the 14,184 user reviews for this game are positive."
Call of Duty®: Modern Warfare® Remastered,51,Mixed,"Mixed,(1,118),- 51% of the 1,118 user reviews for this game are positive."
Stonehearth,75,Mostly Positive,"Mostly Positive,(5,484),- 75% of the 5,484 user reviews for this game are positive."
Hearts of Iron IV: Mobilization Pack,-1,,
Clone Drone in the Danger Zone,94,Very Positive,"Very Positive,(1,901),- 94% of the 1,901 user reviews for this game are positive."
GOD EATER 3,77,Mostly Positive,"Mostly Positive,(1,945),- 77% of the 1,945 user reviews for this game are positive."
War Robots,44,Mixed,"Mixed,(1,797),- 44% of the 1,797 user reviews for this game are positive."
Halo Wars: Definitive Edition,88,Very Positive,"Very Positive,(2,442),- 88% of the 2,442 user reviews for this game are positive."
Call of Duty®: Black Ops,84,Very Positive,"Very Positive,(4,190),- 84% of the 4,190 user reviews for this game are positive."
Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,97,Very Positive,"Very Positive,(382),- 97% of the 382 user reviews for this game are positive."
Team Sonic Racing™,70,Mostly Positive,"Mostly Positive,(487),- 70% of the 487 user reviews for this game are positive."
Titan Quest Anniversary Edition,90,Very Positive,"Very Positive,(9,757),- 90% of the 9,757 user reviews for this game are positive."
Grand Theft Auto IV,63,Mixed,"Mixed,(43,799),- 63% of the 43,799 user reviews for this game are positive."
Portal Bundle,-1,,
Portal,97,Overwhelmingly Positive,"Overwhelmingly Positive,(40,424),- 97% of the 40,424 user reviews for this game are positive."
Viscera Cleanup Detail,92,Very Positive,"Very Positive,(5,414),- 92% of the 5,414 user reviews for this game are positive."
Neverwinter Nights: Enhanced Edition,74,Mostly Positive,"Mostly Positive,(1,094),- 74% of the 1,094 user reviews for this game are positive."
Ni no Kuni™ II: Revenant Kingdom,81,Very Positive,"Very Positive,(2,701),- 81% of the 2,701 user reviews for this game are positive."
Tree of Savior (English Ver.),60,Mixed,"Mixed,(15,461),- 60% of the 15,461 user reviews for this game are positive."
Hellblade: Senua's Sacrifice,91,Very Positive,"Very Positive,(21,022),- 91% of the 21,022 user reviews for this game are positive."
Danganronpa 2: Goodbye Despair,96,Overwhelmingly Positive,"Overwhelmingly Positive,(4,612),- 96% of the 4,612 user reviews for this game are positive."
Yakuza 0,87,Very Positive,"Very Positive,(8,128),- 87% of the 8,128 user reviews for this game are positive."
The Escapists 2,81,Very Positive,"Very Positive,(5,252),- 81% of the 5,252 user reviews for this game are positive."
"Star Wars: Battlefront 2 (Classic, 2005)",91,Very Positive,"Very Positive,(27,397),- 91% of the 27,397 user reviews for this game are positive."
Wizard101,68,Mixed,"Mixed,(805),- 68% of the 805 user reviews for this game are positive."
Life is Strange 2,86,Very Positive,"Very Positive,(4,437),*,- 86% of the 4,437 user reviews for this game are positive.,This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
Kingdoms of Amalur: Reckoning™,87,Very Positive,"Very Positive,(8,950),- 87% of the 8,950 user reviews for this game are positive."
Doom Classic Complete,-1,,
"Warhammer 40,000: Dawn of War II: Retribution",-1,,"7 user reviews,- Need more user reviews to generate a score"
GOD WARS The Complete Legend,100,Positive,"Positive,(11),- 100% of the 11 user reviews for this game are positive."
Counter-Strike: Source,95,Overwhelmingly Positive,"Overwhelmingly Positive,(45,829),- 95% of the 45,829 user reviews for this game are positive."
The Evil Within,80,Very Positive,"Very Positive,(7,855),- 80% of the 7,855 user reviews for this game are positive."
The Binding of Isaac: Rebirth Complete Bundle,-1,,
Bright Memory(Early Access) / 光明记忆,93,Very Positive,"Very Positive,(7,779),- 93% of the 7,779 user reviews for this game are positive."
STAR WARS™ Empire at War - Gold Pack,94,Very Positive,"Very Positive,(5,997),- 94% of the 5,997 user reviews for this game are positive."
Dishonored®: Death of the Outsider™,82,Very Positive,"Very Positive,(2,396),- 82% of the 2,396 user reviews for this game are positive."
Street Fighter V,52,Mixed,"Mixed,(9,007),- 52% of the 9,007 user reviews for this game are positive."
The Jackbox Party Pack 2,94,Very Positive,"Very Positive,(417),- 94% of the 417 user reviews for this game are positive."
Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,80,Very Positive,"Very Positive,(88),- 80% of the 88 user reviews for this game are positive."
Battlefleet Gothic: Armada 2,72,Mostly Positive,"Mostly Positive,(1,731),- 72% of the 1,731 user reviews for this game are positive."
RUNNING WITH RIFLES,87,Very Positive,"Very Positive,(5,090),- 87% of the 5,090 user reviews for this game are positive."
The Witcher: Enhanced Edition Director's Cut,85,Very Positive,"Very Positive,(28,082),- 85% of the 28,082 user reviews for this game are positive."
Middle-earth™: Shadow of War™,77,Mostly Positive,"Mostly Positive,(16,973),- 77% of the 16,973 user reviews for this game are positive."
Forts,79,Mostly Positive,"Mostly Positive,(1,786),- 79% of the 1,786 user reviews for this game are positive."
