user,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20
5250,DarkSoulsPreparetoDieEdition,FarCry3,Dishonored,StarboundUnstable,Awesomenauts,AssassinsCreedIII,Terraria,TeleglitchDieMoreEdition,LIMBO,ScribblenautsUnlimited,BioShockInfinite,SimCity4Deluxe,MarkoftheNinja,TheStanleyParable,TheElderScrollsVSkyrim,BatmanArkhamCityGOTY,WolfensteinTheNewOrder,HitmanBloodMoney,7DaystoDie,DeusExInvisibleWar
76767,MountBladeWarband,H1Z1TestServer,RedOrchestraOstfront4145,CompanyofHeroes,BioShock,Anno2070,WarThunder,MightMagicHeroesVI,PrisonArchitect,FootballManager2012,SpaceEngineers,BatmanArkhamOrigins,RiskofRain,MedievalIITotalWar,StarConflict,SourceFilmmaker,TomClancysSplinterCellConviction,KingdomsofAmalurReckoning,Firefall,RisingStormRedOrchestra2Multiplayer
86540,EndlessSpace,StarWarsKnightsoftheOldRepublic,SourceFilmmaker,TeleglitchDieMoreEdition,Warhammer40000DawnofWarIIChaosRising,TheBindingofIsaac,TheBindingofIsaacRebirth,GarrysMod,CompanyofHeroesTalesofValor,WormsReloaded,Warhammer40000SpaceMarine,Spore,BatmanArkhamOrigins,MightMagicHeroesVI,DeadIslandEpidemic,Elsword,APBReloaded,MountBladeWarband,CallofDuty4ModernWarfare,Fallout
229911,ArmaColdWarAssault,NEOTOKYO,Dota2,TheWitcher2AssassinsofKingsEnhancedEdition,DCUniverseOnline,CallofDutyModernWarfare3,Terraria,CompanyofHeroesNewSteamVersion,Left4Dead2,HitmanAbsolution,DarkMessiahofMightMagicMultiPlayer,HeroesGenerals,CastleCrashers,PAYDAY2,NaturalSelection2,TheElderScrollsVSkyrim,TheWalkingDead,PathofExile,RisingStormRedOrchestra2Multiplayer,RiseofIncarnates
298950,JustCause2,Besiege,RealmoftheMadGod,AgeofEmpiresIIHDEdition,OrcsMustDie,SourceFilmmaker,SimCity4Deluxe,DayZ,LIMBO,Fallout,Audiosurf,InsurgencyModernInfantryCombat,GrandTheftAutoSanAndreas,TheBindingofIsaac,Portal,DirtyBomb,PlanetSide2,StarWarsKnightsoftheOldRepublic,CommandandConquerRedAlert3Uprising,GunZ2TheSecondDuel
381543,NEOTOKYO,ArmaColdWarAssault,Arma2OperationArrowhead,DeathmatchClassic,CounterStrikeGlobalOffensive,CallofDutyAdvancedWarfareMultiplayer,TheForest,GrandTheftAutoIV,CallofDutyWorldatWar,EastIndiaCompanyGold,CallofDutyGhostsMultiplayer,GarrysMod,NapoleonTotalWar,ZombiesMonstersRobots,RedOrchestraOstfront4145,7DaystoDie,TheBindingofIsaac,MedievalIITotalWar,CallofDutyBlackOpsMultiplayer,CounterStrikeSource
547685,Unturned,CounterStrikeSource,H1Z1,EastIndiaCompanyGold,Arma2OperationArrowhead,DungeonDefenders,TomClancysGhostReconPhantomsNA,AlienSwarm,GarrysMod,AmericasArmyProvingGrounds,RocketLeague,RealmoftheMadGod,NapoleonTotalWar,DayZ,Hammerwatch,DefyGravity,Rust,Insurgency,GrandTheftAutoIV,HalfLife2
554278,CounterStrikeConditionZero,Ricochet,Left4Dead,TotalWarSHOGUN2,SniperEliteV2,MedievalIITotalWar,CounterStrike,TheWitcher2AssassinsofKingsEnhancedEdition,RisingStormRedOrchestra2Multiplayer,AmericasArmyProvingGrounds,DeathmatchClassic,Rust,RIFT,Arma3,Insurgency,TheForest,TotalWarROMEIIEmperorEdition,KillingFloor,AgeofEmpiresIIICompleteCollection,AlienSwarm
561758,SaintsRowTheThird,Arma2OperationArrowhead,Hammerwatch,DungeonDefendersII,TheForest,DeathmatchClassic,CallofDutyGhostsMultiplayer,Trove,CallofDutyBlackOpsIIZombies,NapoleonTotalWar,7DaystoDie,MortalKombatKollection,InsurgencyModernInfantryCombat,Portal2,RedOrchestraOstfront4145,Warhammer40000SpaceMarine,EmpireTotalWar,DungeonDefenders,CallofDutyAdvancedWarfareMultiplayer,Defiance
577614,CounterStrikeGlobalOffensive,CounterStrikeSource,Ricochet,DeathmatchClassic,DayZ,GarrysMod,Trove,Left4Dead,H1Z1,CallofDutyWorldatWar,GrandTheftAutoIV,AgeofEmpiresIIICompleteCollection,TheForest,SeriousSam3BFE,Borderlands2,AmericasArmyProvingGrounds,InfestationSurvivorStories,DeadIslandEpidemic,Portal2,CallofDutyGhostsMultiplayer
