user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
151603712,Eternal Senia,Half-Life 2,Killing Floor,Don't Starve: Shipwrecked,Dishonored,Half-Life,S.T.A.L.K.E.R.: Call of Pripyat,Half-Life 2: Episode Two,Fallout: New Vegas,POSTAL 2,Amnesia: The Dark Descent,Saints Row: The Third,NEKOPARA Vol. 1,Everlasting Summer,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,Besiege,S.T.A.L.K.E.R.: Shadow of Chernobyl,Alien Swarm,BioShock™,Half-Life: Opposing Force
187131847,Dungeon Defenders,PAYDAY™ The Heist,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Counter-Strike: Global Offensive,PlanetSide 2,The Lord of the Rings Online™,SMITE®,Magicka 2,Star Trek Online,RIFT,Dungeon Defenders II,ArcheBlade™,Tower Wars,Warface,Kingdom Wars,AirBuccaneers,Prime World
59945701,Ori and the Blind Forest (Original Soundtrack),Axiom Verge Original Soundtrack,The Witcher 3: Wild Hunt - Expansion Pass,Portal 2,BattleBlock Theater®,Castle Crashers - Blacksmith Pack,The Legend of Heroes: Trails in the Sky SC,Stronghold Crusader HD,Broforce,Supreme Commander: Forged Alliance,Duck Game,Dust: An Elysian Tail,HuniePop,Kingdom Rush,Castle Crashers®,Serious Sam Classic: The Second Encounter,Borderlands 2,To the Moon,LISA,Indiana Jones® and the Fate of Atlantis™
53875128,Door Kickers Soundtrack,Axiom Verge Original Soundtrack,The Witcher 3: Wild Hunt - Expansion Pass,Tetrobot and Co.,fault - milestone two side:above,Castle Crashers - Pink Knight Pack,Everyday Genius: SquareLogic,Keep Talking and Nobody Explodes,Eternal Senia,Castle Crashers - Blacksmith Pack,BattleBlock Theater®,Sam & Max 105: Reality 2.0,Unreal Tournament: Game of the Year Edition,Don't Starve: Reign of Giants,Grim Legends 2: Song of the Dark Swan,Freedom Planet - Official Soundtrack,Outlast: Whistleblower DLC,Primordia,Hook,Enigmatis 2: The Mists of Ravenwood
234941318,,,,,,,,,,,,,,,,,,,,
140954425,Killing Floor,Left 4 Dead 2,Alien Swarm,Left 4 Dead,PAYDAY™ The Heist,Guns of Icarus Online,Insurgency,Arma 3,Day of Defeat: Source,Day of Defeat,Counter-Strike: Global Offensive,Natural Selection 2,PAYDAY 2,Tom Clancy's Rainbow Six® Vegas 2,Worms Reloaded,PlanetSide 2,Team Fortress Classic,Tom Clancy's Rainbow Six® Siege,Warface,Rustbucket Rumble
26122540,Castle Crashers®,Torchlight II,Orcs Must Die! 2,Rocket League®,Magicka,Hammerwatch,DRAGON BALL XENOVERSE,Yet Another Zombie Defense,How to Survive,PixelJunk™ Monsters Ultimate,The Lord of the Rings Online™,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,Fight The Dragon,Space Farmers,Eldevin,RPG MO,TERA,Aura Kingdom,Salt,Trove
176410694,Dungeon Defenders,PAYDAY™ The Heist,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Counter-Strike: Global Offensive,PlanetSide 2,The Lord of the Rings Online™,SMITE®,Magicka 2,Star Trek Online,RIFT,Dungeon Defenders II,ArcheBlade™,Tower Wars,Warface,Kingdom Wars,AirBuccaneers,Prime World
197278511,Dungeon Defenders,PAYDAY™ The Heist,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Counter-Strike: Global Offensive,PlanetSide 2,The Lord of the Rings Online™,SMITE®,Magicka 2,Star Trek Online,RIFT,Dungeon Defenders II,ArcheBlade™,Tower Wars,Warface,Kingdom Wars,AirBuccaneers,Prime World
150128162,Killing Floor,Left 4 Dead 2,Alien Swarm,Left 4 Dead,PAYDAY™ The Heist,Guns of Icarus Online,Insurgency,Arma 3,Day of Defeat: Source,Day of Defeat,Counter-Strike: Global Offensive,Natural Selection 2,PAYDAY 2,Tom Clancy's Rainbow Six® Vegas 2,Worms Reloaded,PlanetSide 2,Team Fortress Classic,Tom Clancy's Rainbow Six® Siege,Warface,Rustbucket Rumble
