user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
151603712.0,Portal 2,TIS-100,Portal,The Binding of Isaac: Rebirth,Eternal Senia,The Witcher® 3: Wild Hunt,Euro Truck Simulator 2,SpaceChem,Psychonauts,Dishonored,Ori and the Blind Forest,FTL: Faster Than Light,Garry's Mod,Counter-Strike: Source,Long Live The Queen,Chroma Squad,CrossCode,Infinifactory,Mass Effect 2,Euro Truck Simulator 2 - Ice Cold Paint Jobs Pack
187131847.0,Team Fortress 2,Synergy,Warframe,Bloons TD 5,Company of Heroes,Toribash,Stargunner,Counter-Strike: Global Offensive,Executive Assault,Gotham City Impostors Free to Play,Iron Brigade,SMITE®,Desperados: Wanted Dead or Alive,Magic Duels,Battle of Empires : 1914-1918,Battlestations Pacific,Red Faction II,Total War Battles: KINGDOM,CroNix,The Defenders: The Second Wave
59945701.0,Portal,Choice of Robots,The Witcher® 3: Wild Hunt,Gunpoint,The Binding of Isaac: Rebirth,Mount & Blade: Warband,Super Hexagon,Hylics,Hotline Miami,Crawl,VVVVVV,Ori and the Blind Forest,Recettear: An Item Shop's Tale,GemCraft - Chasing Shadows,Stronghold Crusader HD,Duck Game,Kingdom Rush,Nuclear Throne,Borderlands 2,Doom & Destiny
53875128.0,This War of Mine - War Child Charity DLC,Keep Talking and Nobody Explodes,fault - milestone two side:above,Everyday Genius: SquareLogic,Castle Crashers - Pink Knight Pack,The Room,Gunpoint,Choice of Robots,Castle Crashers - Blacksmith Pack,South Park™: The Stick of Truth™,BattleBlock Theater®,TIS-100,Hylics,Grim Legends 2: Song of the Dark Swan,Mount & Blade: Warband,Luxor Evolved,Don't Starve: Reign of Giants,Super Hexagon,Primordia,The Expendabros
140954425.0,Synergy,Rexaura,Warframe,Fortress Forever,Counter-Strike: Global Offensive,Stargunner,Dota 2,Brawlhalla,Gotham City Impostors Free to Play,Codename CURE,PlanetSide 2,Soldier Front 2,America's Army: Proving Grounds,NEOTOKYO,Warface,GunZ 2: The Second Duel,APB Reloaded,Batla,Genesis Online,
26122540.0,Guild Wars Trilogy,Crypt of the NecroDancer,Templar Battleforce,Space Pirates and Zombies,Dig or Die,Kenshi,Sang-Froid - Tales of Werewolves,Town of Salem,Battle Brothers,Darkest Dungeon®,You Must Build A Boat,Convoy,Neverwinter,Halfway,Defiance,The Red Solstice,Star Trek Online,EVE Online,WARSHIFT,Dragon Nest
176410694.0,Team Fortress 2,Synergy,Warframe,Bloons TD 5,Company of Heroes,Toribash,Stargunner,Counter-Strike: Global Offensive,Executive Assault,Gotham City Impostors Free to Play,Iron Brigade,SMITE®,Desperados: Wanted Dead or Alive,Magic Duels,Battle of Empires : 1914-1918,Battlestations Pacific,Red Faction II,Total War Battles: KINGDOM,CroNix,The Defenders: The Second Wave
197278511.0,Team Fortress 2,Synergy,Warframe,Bloons TD 5,Company of Heroes,Toribash,Stargunner,Counter-Strike: Global Offensive,Executive Assault,Gotham City Impostors Free to Play,Iron Brigade,SMITE®,Desperados: Wanted Dead or Alive,Magic Duels,Battle of Empires : 1914-1918,Battlestations Pacific,Red Faction II,Total War Battles: KINGDOM,CroNix,The Defenders: The Second Wave
150128162.0,Synergy,Rexaura,Warframe,Fortress Forever,Counter-Strike: Global Offensive,Stargunner,Dota 2,Brawlhalla,Gotham City Impostors Free to Play,Codename CURE,PlanetSide 2,Soldier Front 2,America's Army: Proving Grounds,NEOTOKYO,Warface,GunZ 2: The Second Duel,APB Reloaded,Batla,Genesis Online,
197455089.0,Team Fortress 2,Synergy,Warframe,Bloons TD 5,Company of Heroes,Toribash,Stargunner,Counter-Strike: Global Offensive,Executive Assault,Gotham City Impostors Free to Play,Iron Brigade,SMITE®,Desperados: Wanted Dead or Alive,Magic Duels,Battle of Empires : 1914-1918,Battlestations Pacific,Red Faction II,Total War Battles: KINGDOM,CroNix,The Defenders: The Second Wave
63024728.0,,,,,,,,,,,,,,,,,,,,
297811211.0,BattleBlock Theater®,The Expendabros,Broforce,Everlasting Summer,Estranged: Act I,Synergy,Warframe,Rexaura,Fortress Forever,Vanguard Princess Director's Cut,Time Clickers,Counter-Strike: Global Offensive,Stargunner,Muffin Knight,Diamond Dan,Dota 2,Bloody Trapland,Foul Play,Gotham City Impostors Free to Play,Brawlhalla
218323237.0,Portal 2,Dishonored,Team Fortress 2,Synergy,Saints Row IV,Bloons TD 5,Path of Exile,Warframe,Mad Max,Company of Heroes,Far Cry 3,METAL GEAR SOLID V: THE PHANTOM PAIN,Prey,Toribash,Mirror's Edge™,Assassin’s Creed® IV Black Flag™,Executive Assault,Assassin’s Creed® Brotherhood,Stargunner,Counter-Strike: Global Offensive
302186258.0,Team Fortress 2,Synergy,Warframe,Bloons TD 5,Company of Heroes,Toribash,Stargunner,Counter-Strike: Global Offensive,Executive Assault,Gotham City Impostors Free to Play,Iron Brigade,SMITE®,Desperados: Wanted Dead or Alive,Magic Duels,Battle of Empires : 1914-1918,Battlestations Pacific,Red Faction II,Total War Battles: KINGDOM,CroNix,The Defenders: The Second Wave
126340495.0,Guild Wars Trilogy,Portal 2,BattleBlock Theater®,TIS-100,Eternal Senia,The Expendabros,Broforce,Terraria,Dishonored,Euro Truck Simulator 2,Dust: An Elysian Tail,SpaceChem,Botanicula,The Binding of Isaac,Shantae and the Pirate's Curse,Torchlight II,Infinifactory,Rogue Legacy,Rampage Knights,The Silent Age
256193015.0,Kingdom Rush,GemCraft - Chasing Shadows,Orcs Must Die! 2,Infested Planet,Sanctum 2,"Invisible, Inc.",Five Nights at Freddy's 4,Reassembly,Insurgency,Natural Selection 2,Dota 2,Verdun,Brawlhalla,Boid,Dungeon Defenders II,Call to Arms,Combat Monsters,Heroes & Generals,AirBuccaneers,Spartans Vs Zombies Defense
194895541.0,Team Fortress 2,Synergy,Warframe,Bloons TD 5,Company of Heroes,Toribash,Stargunner,Counter-Strike: Global Offensive,Executive Assault,Gotham City Impostors Free to Play,Iron Brigade,SMITE®,Desperados: Wanted Dead or Alive,Magic Duels,Battle of Empires : 1914-1918,Battlestations Pacific,Red Faction II,Total War Battles: KINGDOM,CroNix,The Defenders: The Second Wave
30007387.0,,,,,,,,,,,,,,,,,,,,
159538705.0,Portal,The Binding of Isaac: Rebirth,Ori and the Blind Forest,Psychonauts,BioShock Infinite,Counter-Strike: Source,Mafia II,Vampire: The Masquerade - Bloodlines,Call of Duty: World at War,Call of Duty® 4: Modern Warfare®,Call of Duty®: Modern Warfare® 2,Killing Floor 2,Wolfenstein: The New Order,Call of Duty®: Black Ops II,Tom Clancy's Rainbow Six® Siege,The Evil Within,Metro: Last Light Redux,Metro 2033 Redux,Call of Duty®: Modern Warfare® 3,
