user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
151603712.0,Half-Life 2,Don't Starve: Shipwrecked,Killing Floor,Recettear: An Item Shop's Tale,POSTAL 2,Half-Life 2: Episode Two,Chroma Squad,Half-Life,Fallout: New Vegas,Saints Row: The Third,Undertale,S.T.A.L.K.E.R.: Call of Pripyat,Long Live The Queen,The Talos Principle,Amnesia: The Dark Descent,S.T.A.L.K.E.R.: Shadow of Chernobyl,Half-Life: Opposing Force,Torchlight II,BioShock™,Mass Effect 2
187131847.0,Dungeon Defenders,Guns of Icarus Online,Insurgency,Magicka,Teeworlds,DARK SOULS™ II,Counter-Strike: Global Offensive,Yet Another Zombie Defense,PlanetSide 2,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,SMITE®,Magicka 2,RIFT,ArcheBlade™,Dungeon Defenders II,Warface,AirBuccaneers,Prime World,CroNix,Sacred 3
59945701.0,The Witcher 3: Wild Hunt - Expansion Pass,Portal 2,Eternal Senia,BattleBlock Theater®,The Legend of Heroes: Trails in the Sky SC,The Expendabros,Supreme Commander: Forged Alliance,Serious Sam Classic: The Second Encounter,Stronghold Crusader HD,Broforce,To the Moon,HuniePop,GemCraft - Chasing Shadows,Kingdom Rush,Dust: An Elysian Tail,Terraria,Duck Game,Castle Crashers®,Doom & Destiny,Lethal League
53875128.0,Shelter 2 Soundtrack,Axiom Verge Original Soundtrack,The Witcher 3: Wild Hunt - Expansion Pass,Tetrobot and Co.,Keep Talking and Nobody Explodes,Castle Crashers - Pink Knight Pack,The Binding of Isaac: Rebirth,The Legend of Heroes: Trails in the Sky SC,Luxor Evolved,Super Hexagon,BattleBlock Theater®,Grim Legends 2: Song of the Dark Swan,Enigmatis 2: The Mists of Ravenwood,Castle Crashers - Blacksmith Pack,Escape Goat,The Room,South Park™: The Stick of Truth™,Unreal Tournament: Game of the Year Edition,Don't Starve: Reign of Giants,Primordia
140954425.0,Killing Floor,Left 4 Dead,Synergy,Guns of Icarus Online,Insurgency,Arma 3,Day of Defeat: Source,Counter-Strike: Global Offensive,Natural Selection 2,Zombie Panic! Source,PAYDAY 2,Worms Reloaded,Gotham City Impostors Free to Play,Chivalry: Medieval Warfare,PlanetSide 2,Team Fortress Classic,Tom Clancy's Rainbow Six® Siege,Magicka 2,Primal Carnage: Extinction,Warface
26122540.0,Castle Crashers®,Crawl,Orcs Must Die! 2,Torchlight II,Risk of Rain,Sanctum 2,Magicka,Hammerwatch,Nation Red,Artemis Spaceship Bridge Simulator,DeathSpank: Thongs of Virtue,Full Mojo Rampage,How to Survive,PixelJunk™ Monsters Ultimate,The Lord of the Rings Online™,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,DC Universe™ Online,Fight The Dragon,RPG MO,Aura Kingdom
176410694.0,Dungeon Defenders,Guns of Icarus Online,Insurgency,Magicka,Teeworlds,DARK SOULS™ II,Counter-Strike: Global Offensive,Yet Another Zombie Defense,PlanetSide 2,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,SMITE®,Magicka 2,RIFT,ArcheBlade™,Dungeon Defenders II,Warface,AirBuccaneers,Prime World,CroNix,Sacred 3
197278511.0,Dungeon Defenders,Guns of Icarus Online,Insurgency,Magicka,Teeworlds,DARK SOULS™ II,Counter-Strike: Global Offensive,Yet Another Zombie Defense,PlanetSide 2,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,SMITE®,Magicka 2,RIFT,ArcheBlade™,Dungeon Defenders II,Warface,AirBuccaneers,Prime World,CroNix,Sacred 3
150128162.0,Killing Floor,Left 4 Dead,Synergy,Guns of Icarus Online,Insurgency,Arma 3,Day of Defeat: Source,Counter-Strike: Global Offensive,Natural Selection 2,Zombie Panic! Source,PAYDAY 2,Worms Reloaded,Gotham City Impostors Free to Play,Chivalry: Medieval Warfare,PlanetSide 2,Team Fortress Classic,Tom Clancy's Rainbow Six® Siege,Magicka 2,Primal Carnage: Extinction,Warface
197455089.0,Dungeon Defenders,Guns of Icarus Online,Insurgency,Magicka,Teeworlds,DARK SOULS™ II,Counter-Strike: Global Offensive,Yet Another Zombie Defense,PlanetSide 2,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,SMITE®,Magicka 2,RIFT,ArcheBlade™,Dungeon Defenders II,Warface,AirBuccaneers,Prime World,CroNix,Sacred 3
63024728.0,,,,,,,,,,,,,,,,,,,,
297811211.0,Killing Floor,Left 4 Dead,Estranged: Act I,Synergy,Guns of Icarus Online,Insurgency,Arma 3,Day of Defeat: Source,Counter-Strike: Global Offensive,Cry of Fear,Natural Selection 2,Zombie Panic! Source,PAYDAY 2,Worms Reloaded,Gotham City Impostors Free to Play,Chivalry: Medieval Warfare,Team Fortress Classic,Tom Clancy's Rainbow Six® Siege,PlanetSide 2,Rust
218323237.0,Dungeon Defenders,Path of Exile,Guns of Icarus Online,Deus Ex: Human Revolution - Director's Cut,Resident Evil / biohazard HD REMASTER,Magicka,Insurgency,Hitman: Absolution™,Mad Max,Sleeping Dogs: Definitive Edition,Teeworlds,METAL GEAR SOLID V: THE PHANTOM PAIN,Tomb Raider II,Assassin’s Creed® IV Black Flag™,DARK SOULS™ II,Tomb Raider: Legend,Yet Another Zombie Defense,Counter-Strike: Global Offensive,ENSLAVED™: Odyssey to the West™ Premium Edition,Tom Clancy's Splinter Cell®
302186258.0,Dungeon Defenders,Guns of Icarus Online,Insurgency,Magicka,Teeworlds,DARK SOULS™ II,Counter-Strike: Global Offensive,Yet Another Zombie Defense,PlanetSide 2,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,SMITE®,Magicka 2,RIFT,ArcheBlade™,Dungeon Defenders II,Warface,AirBuccaneers,Prime World,CroNix,Sacred 3
126340495.0,Portal 2,Killing Floor,Serious Sam Classic: The Second Encounter,Saints Row: The Third,Analogue: A Hate Story,Alien Swarm,Serious Sam HD: The Second Encounter,Orcs Must Die! 2,Left 4 Dead,Mount Your Friends,Estranged: Act I,Amnesia™: Memories,Sanctum 2,Serious Sam HD: The First Encounter,Reassembly,If My Heart Had Wings,Synergy,Dungeon Defenders,SC2VN - The eSports Visual Novel,LEGO® Marvel™ Super Heroes
256193015.0,Besiege,"Invisible, Inc.",Paint the Town Red,The Escapists,Breach & Clear,Carmageddon Max Pack,Halfway,Overgrowth,Democracy 3,The Banner Saga: Factions,Immortal Empire,"Warhammer 40,000: Regicide",Combat Monsters,Medieval Engineers,Kill The Bad Guy,Epic Arena,VoidExpanse,CubeGun,Antisquad,Habitat
194895541.0,Dungeon Defenders,Guns of Icarus Online,Insurgency,Magicka,Teeworlds,DARK SOULS™ II,Counter-Strike: Global Offensive,Yet Another Zombie Defense,PlanetSide 2,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,SMITE®,Magicka 2,RIFT,ArcheBlade™,Dungeon Defenders II,Warface,AirBuccaneers,Prime World,CroNix,Sacred 3
30007387.0,,,,,,,,,,,,,,,,,,,,
159538705.0,Killing Floor,Left 4 Dead,Call of Duty: World at War,Killing Floor - Toy Master,Killing Floor 2,Sniper Elite: Nazi Zombie Army,Zombie Army Trilogy,Zombie Panic! Source,Cry of Fear,Resident Evil™ 5/ Biohazard 5®,Resident Evil Revelations / Biohazard Revelations,How to Survive,Codename CURE,Space Farmers,Resident Evil 6 / Biohazard 6,Resident Evil Revelations 2 / Biohazard Revelations 2,Contagion,Damned,Rake,ZOMBI
167362888.0,Dungeon Defenders,Guns of Icarus Online,Insurgency,Magicka,Teeworlds,DARK SOULS™ II,Counter-Strike: Global Offensive,Yet Another Zombie Defense,PlanetSide 2,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,SMITE®,Magicka 2,RIFT,ArcheBlade™,Dungeon Defenders II,Warface,AirBuccaneers,Prime World,CroNix,Sacred 3
208649703.0,Castle Crashers - Pink Knight Pack,Kingdom Rush,Estranged: Act I,SC2VN - The eSports Visual Novel,HOME,AdVenture Capitalist,Time Clickers,Craft The World,Knights of Pen and Paper 2,Cry of Fear,Crusaders of the Lost Idols,Rust,Creativerse,Defiance,Tap Tap Infinity,Dungeon Defenders II,FortressCraft Evolved!,FarSky,Cubic Castles,Alter Ego
