user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
151603712.0,Portal 2,Mount & Blade: Warband,Freedom Planet - Official Soundtrack,Portal,Eternal Senia,Defense Grid: The Awakening,TIS-100,SpaceChem,Borderlands 2,Counter-Strike,Dishonored,Euro Truck Simulator 2,Half-Life 2,Sid Meier's Civilization V: Brave New World,Half-Life 2: Episode Two,Undertale,Garry's Mod,Fallout: New Vegas,Sid Meier's Civilization® V,Long Live The Queen
187131847.0,Portal 2,Team Fortress 2,Pink Hour,Echoes+,Rexaura,Pink Heaven,Fistful of Frags,Super Crate Box,Teeworlds,Counter-Strike: Global Offensive,Brawlhalla,King Arthur's Gold,Apotheon Arena,PlanetSide 2,Modular Combat,TOXIKK™,Gear Up,Color Symphony,APB Reloaded,BLOCKADE 3D
59945701.0,Portal 2,TIS-100,Defense Grid: The Awakening,Freedom Planet - Official Soundtrack,The Room,Portal,Mount & Blade: Warband,Castle Crashers®,Crawl,SpaceChem,Crypt of the NecroDancer Extended Soundtrack,Dishonored,Euro Truck Simulator 2,Nuclear Throne,Half-Life 2,Counter-Strike,Counter-Strike: Source,Half-Life 2: Episode Two,Garry's Mod,"Warhammer® 40,000: Dawn of War® - Dark Crusade"
53875128.0,Axiom Verge Original Soundtrack,Shelter 2 Soundtrack,Grow Home Soundtrack DLC,This War of Mine - War Child Charity DLC,Battlefield: Bad Company 2 Vietnam,Everyday Genius: SquareLogic,Keep Talking and Nobody Explodes,Freedom Planet - Official Soundtrack,The Room,The Binding of Isaac: Rebirth,Super Hexagon,BattleBlock Theater®,Sam & Max 105: Reality 2.0,Don't Starve: Reign of Giants,The Expendabros,Sam & Max 102: Situation: Comedy,Mount & Blade: Warband,Defense Grid: The Awakening,TIS-100,Outlast: Whistleblower DLC
140954425.0,Portal 2,Portal,Left 4 Dead 2,Half-Life 2,Counter-Strike,Half-Life 2: Episode Two,Half-Life,Counter-Strike: Source,Left 4 Dead,Half-Life 2: Episode One,Day of Defeat: Source,Lightfish,Counter-Strike: Global Offensive,Half-Life 2: Deathmatch,Day of Defeat,Dota 2,Team Fortress Classic,Deathmatch Classic,Ricochet,Half-Life: Source
26122540.0,Templar Battleforce,Black Ice,Secrets of Grindea,Dig or Die,Lone Survivor: The Director's Cut,Sang-Froid - Tales of Werewolves,Rebel Galaxy,Karate Master 2 Knock Down Blow,A Walk in the Dark,You Must Build A Boat,War Thunder,Neverwinter,Trove,The Red Solstice,Halfway,Fishing Planet,Defiance,Star Conflict,Star Trek Online,WARSHIFT
176410694.0,Portal 2,Team Fortress 2,Pink Hour,Echoes+,Rexaura,Pink Heaven,Fistful of Frags,Super Crate Box,Teeworlds,Counter-Strike: Global Offensive,Brawlhalla,King Arthur's Gold,Apotheon Arena,PlanetSide 2,Modular Combat,TOXIKK™,Gear Up,Color Symphony,APB Reloaded,BLOCKADE 3D
197278511.0,Portal 2,Team Fortress 2,Pink Hour,Echoes+,Rexaura,Pink Heaven,Fistful of Frags,Super Crate Box,Teeworlds,Counter-Strike: Global Offensive,Brawlhalla,King Arthur's Gold,Apotheon Arena,PlanetSide 2,Modular Combat,TOXIKK™,Gear Up,Color Symphony,APB Reloaded,BLOCKADE 3D
150128162.0,Portal 2,Portal,Left 4 Dead 2,Half-Life 2,Counter-Strike,Half-Life 2: Episode Two,Half-Life,Counter-Strike: Source,Left 4 Dead,Half-Life 2: Episode One,Day of Defeat: Source,Lightfish,Counter-Strike: Global Offensive,Half-Life 2: Deathmatch,Day of Defeat,Dota 2,Team Fortress Classic,Deathmatch Classic,Ricochet,Half-Life: Source
197455089.0,Portal 2,Team Fortress 2,Pink Hour,Echoes+,Rexaura,Pink Heaven,Fistful of Frags,Super Crate Box,Teeworlds,Counter-Strike: Global Offensive,Brawlhalla,King Arthur's Gold,Apotheon Arena,PlanetSide 2,Modular Combat,TOXIKK™,Gear Up,Color Symphony,APB Reloaded,BLOCKADE 3D
63024728.0,,,,,,,,,,,,,,,,,,,,
297811211.0,Portal 2,Portal,The Expendabros,BattleBlock Theater®,Left 4 Dead 2,Broforce,Half-Life 2,Counter-Strike,Everlasting Summer,Counter-Strike: Source,Half-Life 2: Episode Two,Half-Life,Left 4 Dead,Estranged: Act I,Half-Life 2: Episode One,Vanguard Princess Director's Cut,Lightfish,Day of Defeat: Source,Time Clickers,Counter-Strike: Global Offensive
218323237.0,Portal 2,The Expendabros,XCOM: Enemy Unknown,Estranged: Act I,Team Fortress 2,Alien: Isolation,Echoes+,Pink Hour,Middle-earth™: Shadow of Mordor™,XCOM: Enemy Within,Deus Ex: Human Revolution - Director's Cut,Total War: Shogun 2 - Fall of the Samurai,Rexaura,Path of Exile,Fistful of Frags,Pink Heaven,Super Crate Box,Mad Max,Teeworlds,DiRT Rally
302186258.0,Portal 2,Team Fortress 2,Pink Hour,Echoes+,Rexaura,Pink Heaven,Fistful of Frags,Super Crate Box,Teeworlds,Counter-Strike: Global Offensive,Brawlhalla,King Arthur's Gold,Apotheon Arena,PlanetSide 2,Modular Combat,TOXIKK™,Gear Up,Color Symphony,APB Reloaded,BLOCKADE 3D
126340495.0,Shelter 2 Soundtrack,Portal 2,BattleBlock Theater®,TIS-100,Mount & Blade: Warband,Eternal Senia,Defense Grid: The Awakening,Freedom Planet - Official Soundtrack,Portal,The Expendabros,SpaceChem,Counter-Strike,Half-Life 2,Euro Truck Simulator 2,Dishonored,Botanicula,Broforce,Left 4 Dead 2,Fallout: New Vegas,Half-Life 2: Episode Two
256193015.0,Eternal Senia,NightSky,Time Clickers,Boring Man - Online Tactical Stickman Combat,A Walk in the Dark,Boid,Destination Sol,Castle In The Darkness,Tap Tap Infinity,Call to Arms,Dungeon Defenders II,Combat Monsters,Wild Warfare,Heroes & Generals,CubeGun,Mortal Online,Spartans Vs Zombies Defense,Akaneiro: Demon Hunters,Cannons Lasers Rockets,Wind of Luck: Arena - Mediterranean Captain pack
194895541.0,Portal 2,Team Fortress 2,Pink Hour,Echoes+,Rexaura,Pink Heaven,Fistful of Frags,Super Crate Box,Teeworlds,Counter-Strike: Global Offensive,Brawlhalla,King Arthur's Gold,Apotheon Arena,PlanetSide 2,Modular Combat,TOXIKK™,Gear Up,Color Symphony,APB Reloaded,BLOCKADE 3D
30007387.0,,,,,,,,,,,,,,,,,,,,
159538705.0,Portal 2,Counter-Strike,Half-Life 2,Counter-Strike: Source,Half-Life 2: Episode Two,Half-Life,Left 4 Dead,Half-Life: Opposing Force,Alien Swarm,Half-Life 2: Episode One,Half-Life: Blue Shift,Day of Defeat: Source,Half-Life 2: Deathmatch,Day of Defeat,Team Fortress Classic,Deathmatch Classic,Half-Life: Source,Ricochet,Half-Life Deathmatch: Source,
167362888.0,Portal 2,Team Fortress 2,Pink Hour,Echoes+,Rexaura,Pink Heaven,Fistful of Frags,Super Crate Box,Teeworlds,Counter-Strike: Global Offensive,Brawlhalla,King Arthur's Gold,Apotheon Arena,PlanetSide 2,Modular Combat,TOXIKK™,Gear Up,Color Symphony,APB Reloaded,BLOCKADE 3D
208649703.0,The Expendabros,BattleBlock Theater®,Broforce,Everlasting Summer,Tabletop Simulator,Estranged: Act I,SC2VN - The eSports Visual Novel,HOME,Desktop Dungeons,Vanguard Princess Director's Cut,Time Clickers,Knights of Pen and Paper 2,Muffin Knight,Bloody Trapland,Comedy Quest,Survivalist,Rising Angels: Reborn,Famaze,RPG MO,60 Seconds!
