user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
151603712.0,The Witcher 3: Wild Hunt - New Finisher Animations,Portal 2,The Witcher® 3: Wild Hunt,Gunpoint,Half-Life 2,Borderlands 2,Freedom Planet,Dishonored,Killing Floor,Euro Truck Simulator 2,Counter-Strike: Source,Long Live The Queen,Sid Meier's Civilization® V,Sid Meier's Civilization V: Brave New World,Half-Life 2: Episode Two,Half-Life,S.T.A.L.K.E.R.: Call of Pripyat,Garry's Mod,S.T.A.L.K.E.R.: Shadow of Chernobyl,100% Orange Juice
187131847.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
59945701.0,Castle Crashers - Pink Knight Pack,Portal 2,Bullet Heaven 2,Castle Crashers - Blacksmith Pack,Mount & Blade: Warband,Luxor Evolved,Downwell,FTL: Faster Than Light,Half-Life 2,Freedom Planet,Castle Crashers®,Ikaruga,Half-Life 2: Episode Two,Tomb Raider,Critter Crunch,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",The Counting Kingdom,Counter-Strike: Source,Half-Life,Saints Row: The Third
53875128.0,Shelter 2 Soundtrack,Grow Home Soundtrack DLC,Axiom Verge Original Soundtrack,The Witcher 3: Wild Hunt - New Finisher Animations,Castle Crashers - Pink Knight Pack,Blackwell Epiphany,Battlefield: Bad Company 2 Vietnam,Tetrobot and Co.,Choice of Robots,Gunpoint,Super Hexagon,Mount & Blade: Warband,The Binding of Isaac: Rebirth,Don't Starve: Reign of Giants,Bullet Heaven 2,Outlast: Whistleblower DLC,Grim Legends 2: Song of the Dark Swan,Enigmatis 2: The Mists of Ravenwood,Escape Goat,TIS-100
140954425.0,Portal 2,Left 4 Dead 2,Killing Floor,Counter-Strike: Source,Garry's Mod,Black Mesa,Depth - S.T.E.V.E. Pack,Insurgency,Unturned,Depth,Day of Defeat: Source,Counter-Strike: Global Offensive,Dota 2,Chivalry: Medieval Warfare,Rust,Boid,Blockstorm,Cult of the Wind,Revelations 2012,Wickland
26122540.0,Critter Crunch,Viscera Cleanup Detail,Dying Light,Robot Roller-Derby Disco Dodgeball,Path of Exile,Viscera Cleanup Detail: Santa's Rampage,Serious Sam Classics: Revolution,BlazeRush,Final Exam,HOARD,Ring Runner: Flight of the Sages,Ms. Splosion Man,How to Survive,Call of Duty®: Black Ops II,PlanetSide 2,Neverwinter,Resident Evil 6 / Biohazard 6,Trove,WAKFU,ORION: Prelude
176410694.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
197278511.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
150128162.0,Portal 2,Left 4 Dead 2,Killing Floor,Counter-Strike: Source,Garry's Mod,Black Mesa,Depth - S.T.E.V.E. Pack,Insurgency,Unturned,Depth,Day of Defeat: Source,Counter-Strike: Global Offensive,Dota 2,Chivalry: Medieval Warfare,Rust,Boid,Blockstorm,Cult of the Wind,Revelations 2012,Wickland
197455089.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
63024728.0,,,,,,,,,,,,,,,,,,,,
297811211.0,Portal 2,BattleBlock Theater®,Killing Floor,Left 4 Dead 2,Counter-Strike: Source,Garry's Mod,Black Mesa,Dying Light,Depth - S.T.E.V.E. Pack,Starbound,Insurgency,Killing Floor 2,Day of Defeat: Source,Depth,Counter-Strike: Global Offensive,Of Guards And Thieves,Natural Selection 2,Dota 2,Over 9000 Zombies!,Bloody Trapland
218323237.0,XCOM: Enemy Unknown,Team Fortress 2,Alien: Isolation,Dying Light,XCOM: Enemy Within,Middle-earth™: Shadow of Mordor™,Path of Exile,Total War: Shogun 2 - Fall of the Samurai,Insurgency,Unturned,Mad Max,Killing Floor 2,Sleeping Dogs: Definitive Edition,DiRT Rally,"Warhammer® 40,000: Dawn of War® II Chaos Rising",Counter-Strike: Global Offensive,Day of Defeat,"Warhammer 40,000: Dawn of War II",Squad,Resident Evil Revelations / Biohazard Revelations
302186258.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
126340495.0,Portal 2,BattleBlock Theater®,Eternal Senia,Luxor Evolved,Left 4 Dead 2,Killing Floor,SOMA,Counter-Strike: Source,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,140,Besiege,Infested Planet,Costume Quest,Torchlight II,Templar Battleforce,Black Ice,Black Mesa,The Silent Age,Rampage Knights,Serious Sam HD: The First Encounter
256193015.0,Gunpoint,GemCraft - Chasing Shadows,Lethal League,Torchlight II,Black Mesa,"Invisible, Inc.",Town of Salem,Of Guards And Thieves,Verdun,Surgeon Simulator,Boid,Anomaly 2,Gear Up,Cards and Castles,In Exilium,Wild Warfare,Survivor Squad,Kill The Bad Guy,Epic Arena,Kingdoms CCG
194895541.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
30007387.0,,,,,,,,,,,,,,,,,,,,
159538705.0,Portal 2,Killing Floor,Half-Life 2,Garry's Mod,Half-Life 2: Episode Two,Half-Life,Left 4 Dead,Alien Swarm,100% Orange Juice,Half-Life 2: Episode One,Dying Light,Depth - S.T.E.V.E. Pack,Killing Floor 2,Depth,HOARD,Ryse: Son of Rome,Call of Duty®: Black Ops II,ORION: Prelude,Tower Wars,Battle of Empires : 1914-1918
167362888.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
208649703.0,BattleBlock Theater®,Game Dev Tycoon,Avernum 2: Crystal Souls,Hero of the Kingdom,Renowned Explorers: International Society,Dying Light,Bardbarian,Desktop Dungeons,Cat Goes Fishing,Starbound,Killing Floor 2,Depth,Heroine's Quest: The Herald of Ragnarok,Natural Selection 2,Over 9000 Zombies!,Of Guards And Thieves,Knights of Pen and Paper 2,Bloody Trapland,Rust,Boid
299889828.0,Hook,Botanicula,LYNE,NEKOPARA Vol. 1,If My Heart Had Wings,Card City Nights,Cat Goes Fishing,AdVenture Capitalist,Faerie Solitaire,Skyborn,"Please, Don’t Touch Anything",Sunrider Academy,Sakura Clicker,Intergalactic Bubbles,Spectraball,Get Off My Lawn!,Tap Tap Infinity,Gravity Badgers,Tales Runner,"Hack, Slash, Loot"
225987202.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
195071563.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
308653033.0,,,,,,,,,,,,,,,,,,,,
144138643.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
197902002.0,BattleBlock Theater®,Dying Light,Starbound,Killing Floor 2,Depth,Over 9000 Zombies!,Natural Selection 2,Of Guards And Thieves,Bloody Trapland,Rust,Boid,ORION: Prelude,TOXIKK™,Primal Carnage: Extinction,Call to Arms,Tower Wars,Battle of Empires : 1914-1918,Stronghold Crusader 2,DayZ,Tales Runner
97298878.0,Axiom Verge Original Soundtrack,Portal 2,Battlefield: Bad Company 2 Vietnam,Tetrobot and Co.,Hotline Miami,Bullet Heaven 2,eden*,Gunpoint,Super Hexagon,Kingdom Rush,Freedom Planet,Hexcells,Nuclear Throne,PAC-MAN™ Championship Edition DX+,Duck Game,Crawl,To the Moon,GemCraft - Chasing Shadows,Botanicula,Supreme Commander: Forged Alliance
173909336.0,Echoes+,Path of Exile,Gunman Clive,Super Crate Box,Time Clickers,PlanetSide 2,DC Universe™ Online,War Thunder,Star Conflict,Dungeon Fighter Online,Robocraft,Champions Online,Warface,Counter-Strike Nexon: Zombies,Walkover,Aberoth,Survarium,Spartans Vs Zombies Defense,TDP4:Team Battle,Cannons Lasers Rockets
198572546.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
219509107.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
202906503.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
92107940.0,Killing Floor,Borderlands 2,Downwell,Sid Meier's Civilization V: Brave New World,Sid Meier's Civilization® V,STAR WARS™ Jedi Knight - Jedi Academy™,Torchlight II,Black Ice,Besiege,Geometry Dash,Tabletop Simulator,Serious Sam HD: The First Encounter,Black Mesa,Octodad: Dadliest Catch,Half Minute Hero: The Second Coming,Contraption Maker,BioShock Infinite - Season Pass,Viscera Cleanup Detail,Dying Light,STARWHAL
251431515.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
233558010.0,,,,,,,,,,,,,,,,,,,,
99189757.0,Portal 2,Left 4 Dead 2,Killing Floor,Counter-Strike: Source,Garry's Mod,Black Mesa,Depth - S.T.E.V.E. Pack,Insurgency,Unturned,Depth,Day of Defeat: Source,Counter-Strike: Global Offensive,Dota 2,Chivalry: Medieval Warfare,Rust,Boid,Blockstorm,Cult of the Wind,Revelations 2012,Wickland
30695285.0,Counter-Strike,Left 4 Dead 2,Counter-Strike: Source,Half-Life,Half-Life: Opposing Force,Left 4 Dead,The Last Warlock,Half-Life: Blue Shift,Killing Floor 2,Penguins Arena: Sedna's World,Day of Defeat: Source,Sword of the Stars: Complete Collection,Half-Life 2: Deathmatch,Spectromancer,Dota 2,Ticket to Ride,Call of Duty®: Black Ops,Squad,Team Fortress Classic,The Mean Greens - Plastic Warfare
259648553.0,Tomb Raider,XCOM: Enemy Unknown,Alien: Isolation,XCOM: Enemy Within,Middle-earth™: Shadow of Mordor™,Total War: Shogun 2 - Fall of the Samurai,Castle of Illusion,DiRT Rally,"Warhammer® 40,000: Dawn of War® II Chaos Rising","Warhammer 40,000: Dawn of War II",LEGO® Jurassic World,The LEGO® Movie - Videogame,Medieval II: Total War Kingdoms,CoH 2 - The Western Front Armies: Oberkommando West,GRID Autosport,Company of Heroes 2,Thief,Company of Heroes 2 - Ardennes Assault,Total War: SHOGUN 2,"Warhammer 40,000: Dawn of War II: Retribution"
48845802.0,Left 4 Dead 2,Half-Life,Counter-Strike: Source,Half-Life 2: Episode Two,Alien Swarm,100% Orange Juice,Half-Life: Opposing Force,Half-Life 2: Episode One,Depth - S.T.E.V.E. Pack,The Last Warlock,Half-Life: Blue Shift,Killing Floor 2,Penguins Arena: Sedna's World,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,Magic: The Gathering - Duels of the Planeswalkers 2012,Sword of the Stars: Complete Collection,Depth,Day of Defeat: Source,DRAGON BALL XENOVERSE,Magic: The Gathering - Duels of the Planeswalkers 2013
226212066.0,Tetrobot and Co.,Portal 2,BattleBlock Theater®,Terraria,LYNE,Letter Quest: Grimm's Journey,Killing Floor,Left 4 Dead 2,Counter-Strike: Source,NEKOPARA Vol. 1,Black Ice,Besiege,Torchlight II,Letter Quest: Grimm's Journey Remastered,Rampage Knights,Black Mesa,Dying Light,Contraption Maker,Depth - S.T.E.V.E. Pack,A Story About My Uncle
221430493.0,,,,,,,,,,,,,,,,,,,,
62923086.0,Left 4 Dead 2,Counter-Strike: Source,Half-Life,Half-Life: Opposing Force,Left 4 Dead,The Last Warlock,Killing Floor 2,Penguins Arena: Sedna's World,Half-Life: Blue Shift,Day of Defeat: Source,Sword of the Stars: Complete Collection,Half-Life 2: Deathmatch,Spectromancer,Dota 2,Ticket to Ride,Call of Duty®: Black Ops,Squad,The Mean Greens - Plastic Warfare,Talisman: Digital Edition,Half-Life: Source
250006052.0,Mount Your Friends,Serious Sam HD: The First Encounter,Rock of Ages,Archon Classic,FOTONICA,Project CARS - Modified Car Pack,Bob Was Hungry,F1 2012™,Sniper Elite V2,Assetto Corsa,rFactor,The Typing of The Dead: Overkill,Doom 3: BFG Edition,F1 2014,Pinball Arcade,God Mode,Frozen Synapse Prime,Front Mission Evolved,Pro Cycling Manager 2015,MX vs. ATV Supercross Encore
65117175.0,Axiom Verge Original Soundtrack,Tetrobot and Co.,One Finger Death Punch,Gunpoint,Luxor Evolved,Bullet Heaven 2,The Wolf Among Us,Outlast: Whistleblower DLC,Super Hexagon,The Binding of Isaac: Rebirth,Escape Goat,Hotline Miami,Hexcells,Outlast,GemCraft - Chasing Shadows,Orcs Must Die!,Supreme Commander: Forged Alliance,Freedom Planet,PAC-MAN™ Championship Edition DX+,Downwell
227944885.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
144004384.0,Team Fortress 2,Dying Light,Unturned,Insurgency,Killing Floor 2,Counter-Strike: Global Offensive,Day of Defeat,Squad,Resident Evil Revelations / Biohazard Revelations,Chivalry: Medieval Warfare,Rust,Trove,ORION: Prelude,TOXIKK™,Half-Life Deathmatch: Source,Call to Arms,Tower Wars,Warface,Tales Runner,BLOCKADE 3D
