user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
151603712.0,Eternal Senia,Half-Life 2,Don't Starve: Shipwrecked,Killing Floor,Dishonored,Amnesia: The Dark Descent,Fallout: New Vegas,Half-Life,S.T.A.L.K.E.R.: Call of Pripyat,Half-Life 2: Episode Two,Everlasting Summer,Saints Row: The Third,NEKOPARA Vol. 1,POSTAL 2,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,Half-Life: Opposing Force,F.E.A.R.,BioShock™,S.T.A.L.K.E.R.: Shadow of Chernobyl,Alien Swarm
187131847.0,Dungeon Defenders,PAYDAY™ The Heist,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Counter-Strike: Global Offensive,PlanetSide 2,The Lord of the Rings Online™,SMITE®,Magicka 2,Star Trek Online,RIFT,Dungeon Defenders II,ArcheBlade™,Tower Wars,Warface,Kingdom Wars,AirBuccaneers,Prime World
59945701.0,Ori and the Blind Forest (Original Soundtrack),Axiom Verge Original Soundtrack,The Witcher 3: Wild Hunt - Expansion Pass,Portal 2,BattleBlock Theater®,The Legend of Heroes: Trails in the Sky SC,Castle Crashers - Blacksmith Pack,Borderlands 2,Serious Sam Classic: The Second Encounter,Stronghold Crusader HD,Broforce,Supreme Commander: Forged Alliance,To the Moon,Dust: An Elysian Tail,HuniePop,Kingdom Rush,Castle Crashers®,Duck Game,Ys Origin,LISA
53875128.0,Axiom Verge Original Soundtrack,The Witcher 3: Wild Hunt - Expansion Pass,Everyday Genius: SquareLogic,Tetrobot and Co.,Keep Talking and Nobody Explodes,Castle Crashers - Pink Knight Pack,fault - milestone two side:above,The Binding of Isaac: Rebirth,Eternal Senia,Don't Starve: Reign of Giants,BattleBlock Theater®,The Room,Super Hexagon,Enigmatis 2: The Mists of Ravenwood,The Expendabros,The Legend of Heroes: Trails in the Sky SC,Castle Crashers - Blacksmith Pack,Gunpoint,Hook,Hylics
140954425.0,Killing Floor,Left 4 Dead 2,Alien Swarm,Left 4 Dead,PAYDAY™ The Heist,Guns of Icarus Online,Insurgency,Arma 3,Day of Defeat: Source,Day of Defeat,Counter-Strike: Global Offensive,Natural Selection 2,PAYDAY 2,Tom Clancy's Rainbow Six® Vegas 2,Worms Reloaded,PlanetSide 2,Team Fortress Classic,Tom Clancy's Rainbow Six® Siege,Warface,Rustbucket Rumble
26122540.0,Castle Crashers®,Torchlight II,Orcs Must Die! 2,Rocket League®,Magicka,Hammerwatch,DRAGON BALL XENOVERSE,Yet Another Zombie Defense,How to Survive,PixelJunk™ Monsters Ultimate,The Lord of the Rings Online™,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,Fight The Dragon,Space Farmers,Eldevin,RPG MO,TERA,Aura Kingdom,Salt,Trove
176410694.0,Dungeon Defenders,PAYDAY™ The Heist,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Counter-Strike: Global Offensive,PlanetSide 2,The Lord of the Rings Online™,SMITE®,Magicka 2,Star Trek Online,RIFT,Dungeon Defenders II,ArcheBlade™,Tower Wars,Warface,Kingdom Wars,AirBuccaneers,Prime World
197278511.0,Dungeon Defenders,PAYDAY™ The Heist,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Counter-Strike: Global Offensive,PlanetSide 2,The Lord of the Rings Online™,SMITE®,Magicka 2,Star Trek Online,RIFT,Dungeon Defenders II,ArcheBlade™,Tower Wars,Warface,Kingdom Wars,AirBuccaneers,Prime World
150128162.0,Killing Floor,Left 4 Dead 2,Alien Swarm,Left 4 Dead,PAYDAY™ The Heist,Guns of Icarus Online,Insurgency,Arma 3,Day of Defeat: Source,Day of Defeat,Counter-Strike: Global Offensive,Natural Selection 2,PAYDAY 2,Tom Clancy's Rainbow Six® Vegas 2,Worms Reloaded,PlanetSide 2,Team Fortress Classic,Tom Clancy's Rainbow Six® Siege,Warface,Rustbucket Rumble
197455089.0,Dungeon Defenders,PAYDAY™ The Heist,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Counter-Strike: Global Offensive,PlanetSide 2,The Lord of the Rings Online™,SMITE®,Magicka 2,Star Trek Online,RIFT,Dungeon Defenders II,ArcheBlade™,Tower Wars,Warface,Kingdom Wars,AirBuccaneers,Prime World
63024728.0,,,,,,,,,,,,,,,,,,,,
297811211.0,Killing Floor,Left 4 Dead 2,Alien Swarm,Left 4 Dead,Dying Light,PAYDAY™ The Heist,Guns of Icarus Online,Insurgency,Arma 3,Day of Defeat: Source,Day of Defeat,Counter-Strike: Global Offensive,Natural Selection 2,Tom Clancy's Rainbow Six® Vegas 2,PAYDAY 2,Worms Reloaded,Tom Clancy's Rainbow Six® Siege,Team Fortress Classic,PlanetSide 2,Rising World
218323237.0,Tom Clancy's Splinter Cell Chaos Theory®,PAYDAY™ The Heist,Dungeon Defenders,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Hitman: Absolution™,METAL GEAR SOLID V: THE PHANTOM PAIN,Tomb Raider: Legend,Tomb Raider II,Assassin’s Creed® IV Black Flag™,Counter-Strike: Global Offensive,Tom Clancy's Splinter Cell®,Tales of Zestiria,Spiral Knights,Assassin's Creed® Revelations,Tomb Raider: Anniversary,Tomb Raider I,PlanetSide 2
302186258.0,Dungeon Defenders,PAYDAY™ The Heist,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Counter-Strike: Global Offensive,PlanetSide 2,The Lord of the Rings Online™,SMITE®,Magicka 2,Star Trek Online,RIFT,Dungeon Defenders II,ArcheBlade™,Tower Wars,Warface,Kingdom Wars,AirBuccaneers,Prime World
126340495.0,Portal 2,fault - milestone two side:above,eden*,Borderlands 2,HuniePop,Left 4 Dead 2,Killing Floor,Saints Row: The Third,Analogue: A Hate Story,NEKOPARA Vol. 1,Undertale,Left 4 Dead,fault - milestone one,Alien Swarm,Hatoful Boyfriend,Orcs Must Die! 2,Serious Sam HD: The First Encounter,Tabletop Simulator,Amnesia™: Memories,Sanctum 2
256193015.0,Sid Meier's Civilization V: Brave New World,Skulls of the Shogun,Heroes of Might & Magic V: Tribes of the East,Breach & Clear,Sid Meier's Civilization IV: Colonization,The Political Machine 2016,War on Folvos,Overgrowth,Democracy 3,The Banner Saga: Factions,Pox Nora,Blood Bowl 2,Immortal Empire,Kill The Bad Guy,Eador. Masters of the Broken World,Omerta - City of Gangsters,Antisquad,Pride of Nations,Jagged Alliance Flashback,Future Wars
194895541.0,Dungeon Defenders,PAYDAY™ The Heist,Path of Exile,Guns of Icarus Online,Insurgency,Magicka,Counter-Strike: Global Offensive,PlanetSide 2,The Lord of the Rings Online™,SMITE®,Magicka 2,Star Trek Online,RIFT,Dungeon Defenders II,ArcheBlade™,Tower Wars,Warface,Kingdom Wars,AirBuccaneers,Prime World
30007387.0,,,,,,,,,,,,,,,,,,,,
